No,Nama Motor,Usia Motor (tahun),Jarak Tempuh (km),Gejala Kerusakan,Kelas Perawatan Kebutuhan,Komponen yang Diperiksa,Harga (Rp)
545,Suzuki GSX-S150,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
546,Suzuki Smash,10,95000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,547,500"
547,Suzuki Nex II,4,35000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 767,500"
548,Suzuki Satria FU,8,75000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,537,500"
549,Suzuki Address Playful,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
550,Suzuki Shogun SP,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
551,Suzuki Satria F150,6,50000,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI","Rp 1,525,000"
552,Suzuki Address,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
553,Suzuki GSX-R150,7,65000,Tarikan berat,Tinggi,"Service injeksi, busi","Rp 1,532,500"
554,Suzuki Skydrive,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
555,Suzuki GSX-S150,8,70000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,535,000"
556,Suzuki Smash,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
557,Suzuki Nex II,9,80000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,540,000"
558,Suzuki Satria FU,5,40000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 770,000"
559,Suzuki Address Playful,6,50000,Normal,Ringan,Service rutin,"Rp 275,000"
560,Suzuki Shogun SP,7,60000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 780,000"
561,Suzuki Satria F150,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
562,Suzuki Address,8,70000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,535,000"
563,Suzuki GSX-R150,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
564,Suzuki Skydrive,9,80000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,540,000"
565,Suzuki GSX-S150,5,40000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 770,000"
566,Suzuki Smash,10,90000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,545,000"
567,Suzuki Nex II,6,50000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 775,000"
568,Suzuki Satria FU,1,12000,Normal,Ringan,Service rutin,"Rp 256,000"
569,Suzuki Address Playful,7,60000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,530,000"
570,Suzuki Shogun SP,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
571,Suzuki Satria F150,5,45000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 772,500"
572,Suzuki Address,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
573,Suzuki GSX-R150,8,70000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,535,000"
574,Suzuki Skydrive,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
575,Suzuki GSX-S150,9,80000,Tarikan berat,Sedang,"Service injeksi, busi","Rp 790,000"
576,Suzuki Smash,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
577,Suzuki Nex II,10,90000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,545,000"
578,Suzuki Satria FU,6,50000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 775,000"
579,Suzuki Address Playful,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
580,Suzuki Shogun SP,8,70000,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI","Rp 1,535,000"
581,Suzuki Satria F150,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
582,Suzuki Address,9,80000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 790,000"
583,Suzuki GSX-R150,3,22000,Normal,Ringan,Service rutin,"Rp 261,000"
584,Suzuki Skydrive,10,90000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,545,000"
585,Suzuki GSX-S150,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
586,Suzuki Smash,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
587,Suzuki Nex II,5,40000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 770,000"
588,Suzuki Satria FU,7,60000,Kopling selip,Sedang,Ganti kampas kopling,"Rp 780,000"
589,Suzuki Address Playful,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
590,Suzuki Shogun SP,9,85000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,542,500"
591,Suzuki Satria F150,6,50000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 775,000"
592,Suzuki Address,10,90000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,545,000"
593,Suzuki GSX-R150,1,12000,Normal,Ringan,Service rutin,"Rp 256,000"
594,Suzuki Skydrive,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
595,Suzuki GSX-S150,7,60000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,530,000"
596,Suzuki Smash,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
597,Suzuki Nex II,8,70000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,535,000"
598,Suzuki Satria FU,5,45000,Normal,Ringan,Service rutin,"Rp 272,500"
599,Suzuki Address Playful,9,80000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 790,000"
600,Suzuki Shogun SP,6,50000,Tarikan berat,Sedang,Service karburator,"Rp 775,000"
601,Suzuki Satria F150,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
602,Suzuki Address,7,60000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 780,000"
603,Suzuki GSX-R150,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
604,Suzuki Skydrive,8,70000,Oli bocor,Sedang,"Ganti seal, paking","Rp 785,000"
605,Suzuki GSX-S150,2,18000,Normal,Ringan,Service rutin,"Rp 259,000"
606,Suzuki Smash,9,80000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,540,000"
607,Suzuki Nex II,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
608,Suzuki Satria FU,10,90000,Suara mesin kasar,Tinggi,"Turun mesin, cek stang seher","Rp 1,545,000"
609,Suzuki Address Playful,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
610,Suzuki Shogun SP,1,12000,Normal,Ringan,Service rutin,"Rp 256,000"
611,Suzuki Satria F150,7,60000,Mesin mati mendadak,Tinggi,"Cek pengapian, CDI","Rp 1,530,000"
612,Suzuki Address,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
613,Suzuki GSX-R150,10,90000,Kopling selip,Tinggi,Ganti set kopling,"Rp 1,545,000"
614,Suzuki Skydrive,6,50000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 775,000"
615,Suzuki GSX-S150,3,25000,Normal,Ringan,Service rutin,"Rp 262,500"
616,Suzuki Smash,7,60000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 780,000"
617,Suzuki Nex II,4,35000,Normal,Ringan,Service rutin,"Rp 267,500"
618,Suzuki Satria FU,1,10000,Normal,Ringan,Service rutin,"Rp 255,000"
619,Suzuki Address Playful,8,70000,V-Belt putus,Tinggi,"Ganti V-belt, service CVT","Rp 1,535,000"
620,Suzuki Shogun SP,5,40000,Normal,Ringan,Service rutin,"Rp 270,000"
621,Suzuki Satria F150,9,80000,Knalpot berasap,Tinggi,Ganti ring piston,"Rp 1,540,000"
622,Suzuki Address,2,15000,Normal,Ringan,Service rutin,"Rp 257,500"
623,Suzuki GSX-R150,6,50000,Mesin panas,Tinggi,"Cek radiator, water pump","Rp 1,525,000"
624,Suzuki Skydrive,7,60000,Gredeg saat akselerasi,Sedang,Ganti kampas ganda,"Rp 780,000"
625,Suzuki GSX-S150,4,30000,Normal,Ringan,Service rutin,"Rp 265,000"
626,Suzuki Smash,8,70000,Suara mesin kasar,Tinggi,Overhaul total,"Rp 1,535,000"
627,Suzuki Nex II,5,40000,Rem kurang pakem,Sedang,Ganti kampas rem,"Rp 770,000"
628,Suzuki Satria FU,9,80000,Oli bocor parah,Tinggi,"Turun mesin, ganti seal","Rp 1,540,000"
629,Suzuki Address Playful,6,50000,Tarikan berat,Sedang,"Ganti V-belt, roller","Rp 775,000"
630,Suzuki Shogun SP,7,60000,Normal,Ringan,Service rutin,"Rp 280,000"
631,Honda Vario 150,6,55000,MIL kedip 52 (Sensor CKP),Tinggi,"Ganti Sensor CKP, Cek Kabel Body","Rp 1,527,500"
632,Honda PCX 160,3,28000,Suara klotok di mesin,Sedang,"Setting ulang klep, Cek noken as","Rp 764,000"
633,Honda Beat Street,4,35000,Aki cepat tekor,Sedang,"Ganti Kiprok (Regulator), Cek Spul","Rp 767,500"
634,Honda CBR 250RR,5,42000,Kopling selip RPM tinggi,Tinggi,Ganti set kampas kopling & per,"Rp 1,521,000"
635,Honda Supra X 125,8,75000,Asap knalpot putih tebal,Tinggi,"Turun Mesin, Ganti Ring Piston","Rp 1,537,500"
636,Honda Vario 125,7,60000,Gredeg saat akselerasi,Sedang,"Service Besar CVT, Ganti Kampas Ganda","Rp 780,000"
637,Honda PCX 150,4,32000,Overheat di kemacetan,Sedang,"Kurang air radiator, Cek termostat","Rp 766,000"
638,Honda Scoopy,6,50000,Starter tangan mati total,Sedang,"Periksa bendik, Ganti aki","Rp 775,000"
639,Honda Revo,9,85000,Oli mesin bocor parah,Tinggi,"Ganti seal & paking, Cek blok","Rp 1,542,500"
640,Honda ADV 150,2,20000,Getaran setang parah,Sedang,"Cek komstir, Cek laher roda","Rp 760,000"
641,Honda Vario 150,5,48000,MIL kedip 7 (Sensor ECT),Sedang,Ganti Sensor ECT (Suhu Mesin),"Rp 774,000"
642,Honda PCX 160,4,38000,Tarikan berat di tanjakan,Sedang,"Service Injeksi, Bersihkan Throttle Body","Rp 769,000"
643,Honda Beat Street,7,60000,Shock depan mati,Sedang,Ganti seal & oli shock depan,"Rp 780,000"
644,Honda CBR 250RR,6,50000,Suara mesin kasar,Tinggi,"Turun Mesin, Cek rantai keteng","Rp 1,525,000"
645,Honda Supra GTR,8,70000,Tidak bisa di-starter,Sedang,"Ganti Aki, Cek dinamo starter","Rp 785,000"
646,Honda Vario 125,4,30000,Gredeg saat akselerasi,Sedang,"Service CVT, Ganti Roller","Rp 765,000"
647,Honda PCX 150,5,40000,Lampu utama redup,Sedang,"Cek kelistrikan, Ganti Kiprok","Rp 770,000"
648,Honda Scoopy,3,25000,Normal,Ringan,"Service Rutin, Ganti Oli","Rp 262,500"
649,Honda Revo,6,55000,Rem blong,Sedang,"Ganti master rem, Kurangi angin","Rp 777,500"
650,Honda ADV 150,3,25000,MIL kedip 8 (Sensor TP),Sedang,Ganti Sensor TP (Throttle Position),"Rp 762,500"
651,Honda Vario 150,7,62000,Knalpot berasap tipis,Tinggi,"Ganti seal klep, Cek oli","Rp 1,531,000"
652,Honda PCX 160,2,20000,Normal,Ringan,Service Rutin,"Rp 260,000"
653,Honda Beat Street,5,45000,Aki soak,Sedang,"Ganti Aki, Cek pengisian","Rp 772,500"
654,Honda CBR 250RR,4,35000,Suara knalpot meledak,Sedang,"Setting CO, Bersihkan Injektor","Rp 767,500"
655,Honda Supra X 125,9,80000,Oli mesin cepat habis,Tinggi,"Turun Mesin, Ganti Set Piston","Rp 1,540,000"
656,Honda Vario 125,6,50000,V-Belt putus,Tinggi,"Ganti V-belt, Roller, Service CVT","Rp 1,525,000"
657,Honda PCX 150,6,55000,Mesin mati mendadak,Tinggi,"Cek Koil, Cek ECU","Rp 1,527,500"
658,Honda Scoopy,7,65000,Oli bocor dari CVT,Sedang,Ganti seal kruk as CVT,"Rp 782,500"
659,Honda Revo,5,45000,Tarikan berat,Sedang,"Service karburator, Ganti busi","Rp 772,500"
660,Honda ADV 150,4,30000,Rem ABS bermasalah,Tinggi,"Cek sensor ABS, Scan ECU","Rp 1,515,000"
661,Honda Vario 150,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
662,Honda PCX 160,5,45000,Suara klotok di mesin,Tinggi,"Ganti Rantai Keteng, Tensioner","Rp 1,522,500"
663,Honda Beat Street,6,55000,Shock belakang keras,Sedang,Ganti Shockbreaker belakang,"Rp 777,500"
664,Honda CBR 250RR,7,60000,Mesin bergetar hebat,Tinggi,"Cek Stang Seher, Turun Mesin","Rp 1,530,000"
665,Honda Supra X 125,4,35000,Rantai longgar,Ringan,Setel rantai,"Rp 267,500"
666,Honda Vario 125,8,70000,MIL kedip 12 (Injektor),Tinggi,"Ganti Injektor, Bersihkan Jalur Bensin","Rp 1,535,000"
667,Honda PCX 150,3,28000,Normal,Ringan,Service Rutin,"Rp 264,000"
668,Honda Scoopy,5,40000,Aki cepat tekor,Sedang,"Ganti Kiprok, Cek Kabel","Rp 770,000"
669,Honda Revo,7,65000,Oli bocor parah,Tinggi,"Turun Mesin, Ganti Paking Total","Rp 1,532,500"
670,Honda ADV 150,5,40000,Gredeg saat akselerasi,Sedang,"Service Besar CVT, Ganti Roller","Rp 770,000"
671,Honda Vario 150,4,30000,Lampu utama mati,Sedang,"Cek kabel, Ganti bohlam LED","Rp 765,000"
672,Honda PCX 160,6,50000,MIL kedip 29 (IACV),Sedang,Bersihkan/Ganti IACV (Idle Air Control Valve),"Rp 775,000"
673,Honda Beat Street,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
674,Honda CBR 250RR,5,45000,Kopling berat,Sedang,"Ganti kabel kopling, Pelumasan","Rp 772,500"
675,Honda Supra X 125,6,55000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 777,500"
676,Honda Vario 125,7,60000,Mesin mati mendadak,Tinggi,"Cek Koil, Cek ECU","Rp 1,530,000"
677,Honda PCX 150,2,20000,Normal,Ringan,Service Rutin,"Rp 260,000"
678,Honda Scoopy,8,70000,Suara mesin kasar,Tinggi,"Turun Mesin, Cek keteng","Rp 1,535,000"
679,Honda Revo,4,35000,Starter sulit,Sedang,Service karburator/injeksi,"Rp 767,500"
680,Honda ADV 150,6,50000,Overheat,Sedang,"Cek radiator, Ganti coolant","Rp 775,000"
681,Honda Vario 150,8,70000,MIL kedip 52 (Sensor CKP),Tinggi,Ganti Sensor CKP,"Rp 1,535,000"
682,Honda PCX 160,5,40000,Suara klotok di mesin,Tinggi,"Ganti Rantai Keteng, Tensioner","Rp 1,520,000"
683,Honda Beat Street,6,50000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 775,000"
684,Honda CBR 250RR,4,35000,Kopling selip RPM tinggi,Tinggi,Ganti set kampas kopling,"Rp 1,517,500"
685,Honda Supra X 125,7,65000,Asap knalpot putih tebal,Tinggi,"Turun Mesin, Ganti Ring Piston","Rp 1,532,500"
686,Honda Vario 125,5,40000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 770,000"
687,Honda PCX 150,3,25000,Overheat di kemacetan,Sedang,"Cek termostat, Ganti coolant","Rp 762,500"
688,Honda Scoopy,5,45000,Starter tangan mati total,Sedang,"Periksa bendik, Ganti aki","Rp 772,500"
689,Honda Revo,8,75000,Oli mesin bocor parah,Tinggi,Ganti seal & paking,"Rp 1,537,500"
690,Honda ADV 150,4,30000,Getaran setang parah,Sedang,Cek komstir,"Rp 765,000"
691,Honda Vario 150,7,65000,MIL kedip 7 (Sensor ECT),Sedang,Ganti Sensor ECT,"Rp 782,500"
692,Honda PCX 160,3,28000,Tarikan berat di tanjakan,Sedang,Bersihkan Throttle Body,"Rp 764,000"
693,Honda Beat Street,5,45000,Shock depan mati,Sedang,Ganti seal & oli shock,"Rp 772,500"
694,Honda CBR 250RR,7,60000,Suara mesin kasar,Tinggi,"Turun Mesin, Cek keteng","Rp 1,530,000"
695,Honda Supra GTR,6,55000,Tidak bisa di-starter,Sedang,"Ganti Aki, Cek dinamo","Rp 777,500"
696,Honda Vario 125,3,25000,Gredeg saat akselerasi,Sedang,"Service CVT, Ganti Roller","Rp 762,500"
697,Honda PCX 150,7,60000,Lampu utama redup,Sedang,Ganti Kiprok,"Rp 780,000"
698,Honda Scoopy,4,35000,Normal,Ringan,Service Rutin,"Rp 267,500"
699,Honda Revo,8,70000,Rem blong,Sedang,Ganti master rem,"Rp 785,000"
700,Honda ADV 150,5,40000,MIL kedip 8 (Sensor TP),Sedang,Ganti Sensor TP,"Rp 770,000"
701,Honda Vario 150,4,35000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 767,500"
702,Honda PCX 160,7,65000,Mesin mati mendadak,Tinggi,"Cek ECU, Cek Koil","Rp 1,532,500"
703,Honda Beat Street,5,40000,Aki soak,Sedang,Ganti Aki,"Rp 770,000"
704,Honda CBR 250RR,6,55000,Suara knalpot meledak,Sedang,Setting CO,"Rp 777,500"
705,Honda Supra X 125,4,30000,Oli mesin cepat habis,Tinggi,"Turun Mesin, Ganti Set Piston","Rp 1,515,000"
706,Honda Vario 125,8,75000,V-Belt putus,Tinggi,"Ganti V-belt, Roller, Service CVT","Rp 1,537,500"
707,Honda PCX 150,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
708,Honda Scoopy,5,40000,Oli bocor dari CVT,Sedang,Ganti seal kruk as CVT,"Rp 770,000"
709,Honda Revo,9,80000,Tarikan berat,Sedang,Service karburator,"Rp 790,000"
710,Honda ADV 150,7,60000,Rem ABS bermasalah,Tinggi,Cek sensor ABS,"Rp 1,530,000"
711,Honda Vario 150,5,40000,Suara klotok di mesin,Sedang,Setting ulang klep,"Rp 770,000"
712,Honda PCX 160,8,70000,Suara mesin kasar,Tinggi,Ganti Rantai Keteng,"Rp 1,535,000"
713,Honda Beat Street,4,35000,Shock belakang keras,Sedang,Ganti Shockbreaker,"Rp 767,500"
714,Honda CBR 250RR,3,28000,Mesin bergetar hebat,Tinggi,Cek Stang Seher,"Rp 1,514,000"
715,Honda Supra X 125,5,45000,Normal,Ringan,Service Rutin,"Rp 272,500"
716,Honda Vario 125,6,50000,MIL kedip 12 (Injektor),Tinggi,Ganti Injektor,"Rp 1,525,000"
717,Honda PCX 150,4,35000,Normal,Ringan,Service Rutin,"Rp 267,500"
718,Honda Scoopy,6,55000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 777,500"
719,Honda Revo,5,40000,Oli bocor parah,Tinggi,Ganti Paking Total,"Rp 1,520,000"
720,Honda ADV 150,8,70000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 785,000"
721,Honda Vario 150,3,25000,Lampu utama mati,Sedang,Cek kabel,"Rp 762,500"
722,Honda PCX 160,5,45000,MIL kedip 29 (IACV),Sedang,Ganti IACV,"Rp 772,500"
723,Honda Beat Street,7,60000,Normal,Ringan,Service Rutin,"Rp 280,000"
724,Honda CBR 250RR,4,35000,Kopling berat,Sedang,Ganti kabel kopling,"Rp 767,500"
725,Honda Supra X 125,9,80000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 790,000"
726,Honda Vario 125,2,20000,Mesin mati mendadak,Tinggi,Cek ECU,"Rp 1,510,000"
727,Honda PCX 150,6,50000,Normal,Ringan,Service Rutin,"Rp 275,000"
728,Honda Scoopy,3,25000,Suara mesin kasar,Tinggi,Turun Mesin,"Rp 1,512,500"
729,Honda Revo,7,60000,Starter sulit,Sedang,Service karburator,"Rp 780,000"
730,Honda ADV 150,4,30000,Overheat,Sedang,Cek radiator,"Rp 765,000"
731,Honda Vario 150,6,50000,MIL kedip 52 (Sensor CKP),Tinggi,Ganti Sensor CKP,"Rp 1,525,000"
732,Honda PCX 160,3,25000,Suara klotok di mesin,Sedang,Setting ulang klep,"Rp 762,500"
733,Honda Beat Street,4,30000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 765,000"
734,Honda CBR 250RR,5,40000,Kopling selip RPM tinggi,Tinggi,Ganti set kampas kopling,"Rp 1,520,000"
735,Honda Supra X 125,8,70000,Asap knalpot putih tebal,Tinggi,"Turun Mesin, Ganti Ring Piston","Rp 1,535,000"
736,Honda Vario 125,7,65000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 782,500"
737,Honda PCX 150,4,35000,Overheat di kemacetan,Sedang,Cek termostat,"Rp 767,500"
738,Honda Scoopy,6,50000,Starter tangan mati total,Sedang,"Ganti bendik, Ganti aki","Rp 775,000"
739,Honda Revo,9,80000,Oli mesin bocor parah,Tinggi,Ganti seal & paking,"Rp 1,540,000"
740,Honda ADV 150,2,20000,Getaran setang parah,Sedang,Cek komstir,"Rp 760,000"
741,Honda Vario 150,5,45000,MIL kedip 7 (Sensor ECT),Sedang,Ganti Sensor ECT,"Rp 772,500"
742,Honda PCX 160,4,30000,Tarikan berat di tanjakan,Sedang,Bersihkan Throttle Body,"Rp 765,000"
743,Honda Beat Street,7,65000,Shock depan mati,Sedang,Ganti seal & oli shock,"Rp 782,500"
744,Honda CBR 250RR,6,55000,Suara mesin kasar,Tinggi,"Turun Mesin, Cek keteng","Rp 1,527,500"
745,Honda Supra GTR,8,70000,Tidak bisa di-starter,Sedang,Ganti Aki,"Rp 785,000"
746,Honda Vario 125,4,30000,Gredeg saat akselerasi,Sedang,"Service CVT, Ganti Roller","Rp 765,000"
747,Honda PCX 150,7,65000,Lampu utama redup,Sedang,Ganti Kiprok,"Rp 782,500"
748,Honda Scoopy,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
749,Honda Revo,9,80000,Rem blong,Sedang,Ganti master rem,"Rp 790,000"
750,Honda ADV 150,5,40000,MIL kedip 8 (Sensor TP),Sedang,Ganti Sensor TP,"Rp 770,000"
751,Honda Vario 150,6,50000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 775,000"
752,Honda PCX 160,8,70000,Mesin mati mendadak,Tinggi,Cek ECU,"Rp 1,535,000"
753,Honda Beat Street,5,40000,Aki soak,Sedang,Ganti Aki,"Rp 770,000"
754,Honda CBR 250RR,4,35000,Suara knalpot meledak,Sedang,Setting CO,"Rp 767,500"
755,Honda Supra X 125,7,60000,Oli mesin cepat habis,Tinggi,"Turun Mesin, Ganti Set Piston","Rp 1,530,000"
756,Honda Vario 125,5,45000,V-Belt putus,Tinggi,"Ganti V-belt, Roller, Service CVT","Rp 1,522,500"
757,Honda PCX 150,4,30000,Normal,Ringan,Service Rutin,"Rp 265,000"
758,Honda Scoopy,6,55000,Oli bocor dari CVT,Sedang,Ganti seal kruk as CVT,"Rp 777,500"
759,Honda Revo,3,25000,Tarikan berat,Sedang,Service karburator,"Rp 762,500"
760,Honda ADV 150,7,65000,Rem ABS bermasalah,Tinggi,Cek sensor ABS,"Rp 1,532,500"
761,Honda Vario 150,4,35000,Suara klotok di mesin,Sedang,Setting ulang klep,"Rp 767,500"
762,Honda PCX 160,5,45000,Suara mesin kasar,Tinggi,Ganti Rantai Keteng,"Rp 1,522,500"
763,Honda Beat Street,8,70000,Shock belakang keras,Sedang,Ganti Shockbreaker,"Rp 785,000"
764,Honda CBR 250RR,3,28000,Mesin bergetar hebat,Tinggi,Cek Stang Seher,"Rp 1,514,000"
765,Honda Supra X 125,6,50000,Normal,Ringan,Service Rutin,"Rp 275,000"
766,Honda Vario 125,7,60000,MIL kedip 12 (Injektor),Tinggi,Ganti Injektor,"Rp 1,530,000"
767,Honda PCX 150,5,40000,Normal,Ringan,Service Rutin,"Rp 270,000"
768,Honda Scoopy,8,70000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 785,000"
769,Honda Revo,4,30000,Oli bocor parah,Tinggi,Ganti Paking Total,"Rp 1,515,000"
770,Honda ADV 150,6,50000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 775,000"
771,Honda Vario 150,5,40000,Lampu utama mati,Sedang,Cek kabel,"Rp 770,000"
772,Honda PCX 160,3,25000,MIL kedip 29 (IACV),Sedang,Ganti IACV,"Rp 762,500"
773,Honda Beat Street,6,55000,Normal,Ringan,Service Rutin,"Rp 277,500"
774,Honda CBR 250RR,5,40000,Kopling berat,Sedang,Ganti kabel kopling,"Rp 770,000"
775,Honda Supra X 125,7,60000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 780,000"
776,Honda Vario 125,8,70000,Mesin mati mendadak,Tinggi,Cek ECU,"Rp 1,535,000"
777,Honda PCX 150,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
778,Honda Scoopy,9,80000,Suara mesin kasar,Tinggi,Turun Mesin,"Rp 1,540,000"
779,Honda Revo,5,40000,Starter sulit,Sedang,Service karburator,"Rp 770,000"
780,Honda ADV 150,7,65000,Overheat,Sedang,Cek radiator,"Rp 782,500"
781,Honda Vario 150,3,28000,Suara klotok di mesin,Sedang,Setting ulang klep,"Rp 764,000"
782,Honda PCX 160,6,55000,Suara mesin kasar,Tinggi,Ganti Rantai Keteng,"Rp 1,527,500"
783,Honda Beat Street,4,35000,Shock belakang keras,Sedang,Ganti Shockbreaker,"Rp 767,500"
784,Honda CBR 250RR,7,60000,Mesin bergetar hebat,Tinggi,Cek Stang Seher,"Rp 1,530,000"
785,Honda Supra X 125,5,40000,Normal,Ringan,Service Rutin,"Rp 270,000"
786,Honda Vario 125,6,50000,MIL kedip 12 (Injektor),Tinggi,Ganti Injektor,"Rp 1,525,000"
787,Honda PCX 150,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
788,Honda Scoopy,7,60000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 780,000"
789,Honda Revo,8,70000,Oli bocor parah,Tinggi,Ganti Paking Total,"Rp 1,535,000"
790,Honda ADV 150,4,30000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 765,000"
791,Honda Vario 150,5,40000,Lampu utama mati,Sedang,Cek kabel,"Rp 770,000"
792,Honda PCX 160,7,60000,MIL kedip 29 (IACV),Sedang,Ganti IACV,"Rp 780,000"
793,Honda Beat Street,3,25000,Normal,Ringan,Service Rutin,"Rp 262,500"
794,Honda CBR 250RR,6,50000,Kopling berat,Sedang,Ganti kabel kopling,"Rp 775,000"
795,Honda Supra X 125,4,30000,Knalpot berasap tipis,Sedang,Ganti seal klep,"Rp 765,000"
796,Honda Vario 125,9,80000,Mesin mati mendadak,Tinggi,Cek ECU,"Rp 1,540,000"
797,Honda PCX 150,5,40000,Normal,Ringan,Service Rutin,"Rp 270,000"
798,Honda Scoopy,8,70000,Suara mesin kasar,Tinggi,Turun Mesin,"Rp 1,535,000"
799,Honda Revo,4,35000,Starter sulit,Sedang,Service karburator,"Rp 767,500"
800,Honda ADV 150,6,50000,Overheat,Sedang,Cek radiator,"Rp 775,000"
801,Honda Vario 150,7,65000,MIL kedip 52 (Sensor CKP),Tinggi,Ganti Sensor CKP,"Rp 1,532,500"
802,Honda PCX 160,4,35000,Suara klotok di mesin,Sedang,Setting ulang klep,"Rp 767,500"
803,Honda Beat Street,5,45000,Aki cepat tekor,Sedang,Ganti Kiprok,"Rp 772,500"
804,Honda CBR 250RR,6,50000,Kopling selip RPM tinggi,Tinggi,Ganti set kampas kopling,"Rp 1,525,000"
805,Honda Supra X 125,9,80000,Asap knalpot putih tebal,Tinggi,"Turun Mesin, Ganti Ring Piston","Rp 1,540,000"
806,Honda Vario 125,4,35000,Gredeg saat akselerasi,Sedang,Service Besar CVT,"Rp 767,500"
807,Honda PCX 150,7,65000,Overheat di kemacetan,Sedang,Cek termostat,"Rp 782,500"
808,Honda Scoopy,8,70000,Starter tangan mati total,Sedang,"Ganti bendik, Ganti aki","Rp 785,000"
809,Honda Revo,5,45000,Oli mesin bocor parah,Tinggi,Ganti seal & paking,"Rp 1,522,500"
810,Honda ADV 150,7,60000,Getaran setang parah,Sedang,Cek komstir,"Rp 780,000"
